CHROM,win_start,win_end,win_mid,mean_Het,Sexo
scaffold_18_ctg1,1,50000,26991,0.004769231,Females
scaffold_18_ctg1,50001,100000,74214,0.008023077,Females
scaffold_18_ctg1,100001,150000,124113,0.011738462,Females
scaffold_18_ctg1,150001,200000,175218,0.011284615,Females
scaffold_18_ctg1,200001,250000,225553,0.014638462,Females
scaffold_18_ctg1,250001,300000,274809,0.013384615,Females
scaffold_18_ctg1,300001,350000,323574,0.0174,Females
scaffold_18_ctg1,350001,400000,375307,0.017861538,Females
scaffold_18_ctg1,400001,450000,424740,0.015807692,Females
scaffold_18_ctg1,450001,500000,474759,0.015884615,Females
scaffold_18_ctg1,500001,550000,525077,0.017346154,Females
scaffold_18_ctg1,550001,600000,574800,0.016569231,Females
scaffold_18_ctg1,600001,650000,626240,0.013153846,Females
scaffold_18_ctg1,650001,700000,673962,0.016438462,Females
scaffold_18_ctg1,700001,750000,725471,0.015476923,Females
scaffold_18_ctg1,750001,800000,774947,0.016338462,Females
scaffold_18_ctg1,800001,850000,825200,0.019538462,Females
scaffold_18_ctg1,850001,900000,874007,0.018284615,Females
scaffold_18_ctg1,900001,950000,925488,0.019469231,Females
scaffold_18_ctg1,950001,1000000,974771,0.015715385,Females
scaffold_18_ctg1,1000001,1050000,1022517,0.014,Females
scaffold_18_ctg1,1050001,1100000,1074774,0.015853846,Females
scaffold_18_ctg1,1100001,1150000,1124959,0.017192308,Females
scaffold_18_ctg1,1150001,1200000,1175067,0.016907692,Females
scaffold_18_ctg1,1200001,1250000,1225234,0.018669231,Females
scaffold_18_ctg1,1250001,1300000,1276474,0.017015385,Females
scaffold_18_ctg1,1300001,1350000,1323121,0.017692308,Females
scaffold_18_ctg1,1350001,1400000,1375201,0.018561538,Females
scaffold_18_ctg1,1400001,1450000,1424989,0.016230769,Females
scaffold_18_ctg1,1450001,1500000,1474958,0.017123077,Females
scaffold_18_ctg1,1500001,1550000,1524900,0.018730769,Females
scaffold_18_ctg1,1550001,1600000,1574886,0.016769231,Females
scaffold_18_ctg1,1600001,1650000,1621662,0.014084615,Females
scaffold_18_ctg1,1650001,1700000,1674482,0.015961538,Females
scaffold_18_ctg1,1700001,1750000,1725617,0.016153846,Females
scaffold_18_ctg1,1750001,1800000,1774655,0.014523077,Females
scaffold_18_ctg1,1800001,1850000,1824762,0.017084615,Females
scaffold_18_ctg1,1850001,1900000,1874691,0.016146154,Females
scaffold_18_ctg1,1900001,1950000,1924090,0.017846154,Females
scaffold_18_ctg1,1950001,2000000,1975032,0.017953846,Females
scaffold_18_ctg1,2000001,2050000,2024825,0.018530769,Females
scaffold_18_ctg1,2050001,2100000,2076108,0.016023077,Females
scaffold_18_ctg1,2100001,2150000,2125603,0.019,Females
scaffold_18_ctg1,2150001,2200000,2175475,0.019992308,Females
scaffold_18_ctg1,2200001,2250000,2224589,0.018361538,Females
scaffold_18_ctg1,2250001,2300000,2275315,0.015530769,Females
scaffold_18_ctg1,2300001,2350000,2324815,0.016146154,Females
scaffold_18_ctg1,2350001,2400000,2373815,0.013992308,Females
scaffold_18_ctg1,2400001,2450000,2425917,0.018392308,Females
scaffold_18_ctg1,2450001,2500000,2474821,0.018407692,Females
scaffold_18_ctg1,2500001,2550000,2525282,0.017753846,Females
scaffold_18_ctg1,2550001,2600000,2575074,0.018461538,Females
scaffold_18_ctg1,2600001,2650000,2624746,0.018738462,Females
scaffold_18_ctg1,2650001,2700000,2674369,0.019253846,Females
scaffold_18_ctg1,2700001,2750000,2725159,0.021238462,Females
scaffold_18_ctg1,2750001,2800000,2775204,0.0189,Females
scaffold_18_ctg1,2800001,2850000,2822451,0.018023077,Females
scaffold_18_ctg1,2850001,2900000,2874869,0.0193,Females
scaffold_18_ctg1,2900001,2950000,2925572,0.018961538,Females
scaffold_18_ctg1,2950001,3000000,2975194,0.016946154,Females
scaffold_18_ctg1,3000001,3050000,3027550,0.0162,Females
scaffold_18_ctg1,3050001,3100000,3074904,0.017123077,Females
scaffold_18_ctg1,3100001,3150000,3124721,0.018015385,Females
scaffold_18_ctg1,3150001,3200000,3176875,0.019415385,Females
scaffold_18_ctg1,3200001,3250000,3225369,0.017176923,Females
scaffold_18_ctg1,3250001,3300000,3276341,0.014046154,Females
scaffold_18_ctg1,3300001,3350000,3324255,0.019330769,Females
scaffold_18_ctg1,3350001,3400000,3373430,0.017730769,Females
scaffold_18_ctg1,3400001,3450000,3423135,0.0182,Females
scaffold_18_ctg1,3450001,3500000,3477978,0.015992308,Females
scaffold_18_ctg1,3500001,3550000,3524487,0.016923077,Females
scaffold_18_ctg1,3550001,3600000,3575450,0.016476923,Females
scaffold_18_ctg1,3600001,3650000,3624393,0.009315385,Females
scaffold_18_ctg1,3650001,3700000,3674908,0.015969231,Females
scaffold_18_ctg1,3700001,3750000,3724837,0.015592308,Females
scaffold_18_ctg1,3750001,3800000,3774985,0.016253846,Females
scaffold_18_ctg1,3800001,3850000,3823991,0.015092308,Females
scaffold_18_ctg1,3850001,3900000,3875613,0.015130769,Females
scaffold_18_ctg1,3900001,3950000,3925032,0.017476923,Females
scaffold_18_ctg1,3950001,4000000,3974864,0.017107692,Females
