CHROM,win_start,win_end,win_mid,MEAN_DEPTH_n,MEAN_DEPTH_mean,MEAN_DEPTH_max,Sexo
scaffold_19_ctg1,9550001,9600000,9575000,39819,21,44.1429,Females
scaffold_19_ctg1,9700001,9750000,9725000,33085,21,65,Males
scaffold_19_ctg1,600001,650000,625000,41334,21,47.6667,Males
scaffold_19_ctg1,550001,6.00E+05,575000,36623,17.91310918,45.3333,Males
scaffold_19_ctg1,5050001,5100000,5075000,31155,17.14153917,39.1667,Males
scaffold_19_ctg1,8150001,8200000,8175000,39719,16.73145854,41.8333,Males
scaffold_19_ctg1,750001,8.00E+05,775000,38073,16.68245927,78.1429,Females
scaffold_19_ctg1,9250001,9300000,9275000,37140,16.45370053,28.8333,Males
scaffold_19_ctg1,7850001,7900000,7875000,36825,16.37501258,27.5,Males
scaffold_19_ctg1,8000001,8050000,8025000,42580,16.34937467,28.8333,Males
scaffold_19_ctg1,7800001,7850000,7825000,39843,16.31107759,36.1667,Males
scaffold_19_ctg1,3400001,3450000,3425000,33983,16.22481373,26.3333,Males
scaffold_19_ctg1,7900001,7950000,7925000,38744,16.19139593,27.8333,Males
scaffold_19_ctg1,7750001,7800000,7775000,39052,16.17775555,37.1667,Males
scaffold_19_ctg1,6300001,6350000,6325000,37990,16.16472524,32.8333,Males
scaffold_19_ctg1,4550001,4600000,4575000,38994,16.15776209,45.3333,Males
scaffold_19_ctg1,3600001,3650000,3625000,40842,16.15188764,30.8333,Males
scaffold_19_ctg1,1350001,1400000,1375000,42163,16.14407969,31.1667,Males
scaffold_19_ctg1,8050001,8100000,8075000,40627,16.13018992,38.5,Males
scaffold_19_ctg1,7100001,7150000,7125000,37373,16.07584329,26,Males
scaffold_19_ctg1,8100001,8150000,8125000,40483,16.02095553,30.6667,Males
scaffold_19_ctg1,1200001,1250000,1225000,36792,16.00599567,32.3333,Males
scaffold_19_ctg1,3050001,3100000,3075000,37214,15.9970222,55.6667,Males
scaffold_19_ctg1,5650001,5700000,5675000,37632,15.92392854,29,Males
scaffold_19_ctg1,3700001,3750000,3725000,41010,15.77694907,27.5,Males
scaffold_19_ctg1,5750001,5800000,5775000,40042,15.76525765,40,Males
scaffold_19_ctg1,1300001,1350000,1325000,39444,15.72566342,30.1667,Males
scaffold_19_ctg1,7700001,7750000,7725000,36083,15.63341559,34.3333,Males
scaffold_19_ctg1,9200001,9250000,9225000,36319,15.62324101,27.6667,Males
scaffold_19_ctg1,700001,750000,725000,31719,15.53316185,28.3333,Males
scaffold_19_ctg1,9550001,9600000,9575000,39819,15.5232924,26.5,Males
scaffold_19_ctg1,10300001,10350000,10325000,38488,15.51357882,39.5,Males
scaffold_19_ctg1,12400001,12450000,12425000,36646,15.44033465,25.5,Males
scaffold_19_ctg1,9600001,9650000,9625000,39645,15.41459939,30.1667,Males
scaffold_19_ctg1,12000001,12050000,12025000,39010,15.4142449,29.6667,Males
scaffold_19_ctg1,9300001,9350000,9325000,35358,15.40064819,42.3333,Males
scaffold_19_ctg1,11300001,11350000,11325000,37649,15.39412247,27,Males
scaffold_19_ctg1,7950001,8.00E+06,7975000,39937,15.3926878,25.3333,Males
scaffold_19_ctg1,11750001,11800000,11775000,39513,15.38529034,27.1667,Males
scaffold_19_ctg1,9450001,9500000,9475000,39668,15.38451835,26.5,Males
scaffold_19_ctg1,12450001,12500000,12475000,36814,15.36951721,32.5,Males
scaffold_19_ctg1,8450001,8500000,8475000,40423,15.36918099,28.5,Males
scaffold_19_ctg1,4500001,4550000,4525000,36770,15.36168458,31.5,Males
scaffold_19_ctg1,3450001,3500000,3475000,37941,15.33006054,30,Males
scaffold_19_ctg1,7250001,7300000,7275000,32440,15.32845692,33.6667,Males
scaffold_19_ctg1,3750001,3800000,3775000,38862,15.31759534,24.6667,Males
scaffold_19_ctg1,9100001,9150000,9125000,38348,15.31393413,27.5,Males
scaffold_19_ctg1,7050001,7100000,7075000,33217,15.28700726,35.6667,Males
scaffold_19_ctg1,11950001,1.20E+07,11975000,38725,15.28285181,58.6667,Males
scaffold_19_ctg1,950001,1.00E+06,975000,38243,15.28225134,29.8333,Males
scaffold_19_ctg1,5600001,5650000,5625000,37530,15.27999648,23.5,Males
scaffold_19_ctg1,9400001,9450000,9425000,35753,15.27394923,26,Males
scaffold_19_ctg1,11700001,11750000,11725000,35137,15.27294595,44.3333,Males
scaffold_19_ctg1,8800001,8850000,8825000,38478,15.2703483,34.8333,Males
scaffold_19_ctg1,3000001,3050000,3025000,33141,15.25897028,26.6667,Males
scaffold_19_ctg1,2350001,2400000,2375000,39571,15.23721492,25.6667,Males
scaffold_19_ctg1,2950001,3.00E+06,2975000,38767,15.2329102,31.8333,Males
scaffold_19_ctg1,500001,550000,525000,39829,15.22911346,27.1667,Males
scaffold_19_ctg1,3500001,3550000,3525000,35091,15.22900932,27.6667,Males
scaffold_19_ctg1,2800001,2850000,2825000,30992,15.22098067,34.5,Males
scaffold_19_ctg1,6000001,6050000,6025000,35682,15.21743853,24.5,Males
scaffold_19_ctg1,7650001,7700000,7675000,35292,15.19301828,41.1667,Males
scaffold_19_ctg1,450001,5.00E+05,475000,36480,15.19196824,29.5,Males
scaffold_19_ctg1,900001,950000,925000,37197,15.17485954,40.3333,Males
scaffold_19_ctg1,8250001,8300000,8275000,36078,15.16076832,24.5,Males
scaffold_19_ctg1,3100001,3150000,3125000,35112,15.16002033,24.1667,Males
scaffold_19_ctg1,11900001,11950000,11925000,26194,15.15352372,24.5,Males
scaffold_19_ctg1,1250001,1300000,1275000,37085,15.14121573,29.3333,Males
scaffold_19_ctg1,350001,4.00E+05,375000,32049,15.1243077,35.3333,Males
scaffold_19_ctg1,5800001,5850000,5825000,35414,15.11169595,24.8333,Males
scaffold_19_ctg1,8700001,8750000,8725000,39186,15.11095308,27,Males
scaffold_19_ctg1,600001,650000,625000,41334,15.0978851,41,Females
scaffold_19_ctg1,1100001,1150000,1125000,38462,15.09672649,28.8333,Males
scaffold_19_ctg1,7150001,7200000,7175000,40959,15.08337852,28,Males
scaffold_19_ctg1,2150001,2200000,2175000,35403,15.08224169,30.5,Males
scaffold_19_ctg1,7600001,7650000,7625000,38513,15.07413165,36.5,Males
scaffold_19_ctg1,12650001,12700000,12675000,38445,15.07183585,30,Males
